,predus,ispred,dockpred,annotated,rfscore
149_1KLU.D,0.0,0.0,0.00229,0.0,0.0
150_1KLU.D,0.0,0.01,0.00615,0.0,0.0
151_1KLU.D,0.0,0.0,0.00151,0.0,0.0
152_1KLU.D,0.0,0.01,0.00073,0.0,0.0
153_1KLU.D,0.0,0.01,0.0001,0.0,0.0
154_1KLU.D,0.0,0.0,0.0,0.0,0.004193290734824281
155_1KLU.D,0.0,0.0,0.0,0.0,0.004193290734824281
156_1KLU.D,0.0,0.0,0.00016,0.0,0.0
157_1KLU.D,0.0,0.0,5e-05,0.0,0.0
158_1KLU.D,0.0,0.0,0.00161,0.0,0.0
159_1KLU.D,0.0,0.0,0.0,0.0,0.004193290734824281
160_1KLU.D,0.0,0.0,0.0,0.0,0.004193290734824281
161_1KLU.D,0.0,0.0,0.00156,0.0,0.0
162_1KLU.D,0.037000000000000005,0.01,0.01432,0.0,0.0
163_1KLU.D,0.0,0.0,0.00125,0.0,0.035714285714285705
164_1KLU.D,0.0,0.0,5e-05,0.0,0.0
165_1KLU.D,0.013999999999999999,0.04,0.01963,0.0,0.0
166_1KLU.D,0.013999999999999999,0.01,0.026039999999999997,0.0,0.0
167_1KLU.D,0.0,0.0,0.0008900000000000001,0.0,0.0
168_1KLU.D,0.0,0.0,0.00937,0.0,0.0
169_1KLU.D,0.013999999999999999,0.02,0.04218,0.0,0.0
170_1KLU.D,0.0,0.01,0.030619999999999998,0.0,0.0
171_1KLU.D,0.0,0.01,0.01005,0.0,0.0
172_1KLU.D,0.0,0.04,0.02338,0.0,0.0
173_1KLU.D,0.0,0.0,0.0001,0.0,0.0
174_1KLU.D,0.0,0.0,0.00625,0.0,0.0
175_1KLU.D,0.13,0.04,0.058589999999999996,0.0,0.1
176_1KLU.D,0.406,0.82,0.27284,0.0,0.4
177_1KLU.D,0.287,0.32,0.10957,0.0,0.3
178_1KLU.D,0.217,0.11,0.00854,0.0,0.0
179_1KLU.D,0.037000000000000005,0.0,0.00234,0.0,0.0
180_1KLU.D,0.0,0.07,0.00375,0.0,0.0
181_1KLU.D,0.0,0.0,0.00203,0.0,0.0
182_1KLU.D,0.0,0.0,0.00062,0.0,0.02127659574468085
183_1KLU.D,0.0,0.0,0.00016,0.0,0.0
184_1KLU.D,0.0,0.0,0.0,0.0,0.004193290734824281
185_1KLU.D,0.0,0.0,0.0020800000000000003,0.0,0.0
186_1KLU.D,0.0,0.0,5e-05,0.0,0.0
187_1KLU.D,0.0,0.0,0.00229,0.0,0.0
188_1KLU.D,0.0,0.0,0.0,0.0,0.004193290734824281
189_1KLU.D,0.0,0.02,0.0020800000000000003,0.0,0.0
190_1KLU.D,0.0,0.0,0.00141,0.0,0.0
191_1KLU.D,0.0,0.02,0.0016699999999999998,0.0,0.0
192_1KLU.D,0.0,0.01,0.00135,0.0,0.0
193_1KLU.D,0.0,0.01,0.0017699999999999999,0.0,0.0
194_1KLU.D,0.0,0.01,0.00463,0.0,0.0
195_1KLU.D,0.0,0.0,0.00391,0.0,0.0
196_1KLU.D,0.0,0.0,0.014740000000000001,0.0,0.0
197_1KLU.D,0.0,0.0,0.03708,0.0,0.0
198_1KLU.D,0.0,0.0,0.02922,0.0,0.0
199_1KLU.D,0.0,0.0,0.0237,0.0,0.0
200_1KLU.D,0.0,0.0,0.00031,0.0,0.0
201_1KLU.D,0.0,0.0,0.00375,0.0,0.0
202_1KLU.D,0.0,0.0,0.00297,0.0,0.0
203_1KLU.D,0.0,0.01,0.030989999999999997,0.0,0.0
204_1KLU.D,0.0,0.01,0.034010000000000006,0.0,0.0
205_1KLU.D,0.0,0.01,0.019430000000000003,0.0,0.0
206_1KLU.D,0.0,0.06,0.0777,0.0,0.0
207_1KLU.D,0.0,0.03,0.20940999999999999,0.0,0.0
208_1KLU.D,0.0,0.0,0.07916000000000001,0.0,0.0
209_1KLU.D,0.079,0.03,0.2545,0.0,0.2
210_1KLU.D,0.179,0.0,0.14612999999999998,0.0,0.4
211_1KLU.D,0.11599999999999999,0.0,0.24758000000000002,1.0,0.0
212_1KLU.D,0.179,0.02,0.44032,1.0,0.0
213_1KLU.D,0.0,0.0,0.0289,0.0,0.0
214_1KLU.D,0.0,0.0,0.00115,0.0,0.0
215_1KLU.D,0.0,0.05,0.38652,0.0,0.1
216_1KLU.D,0.0,0.02,0.052489999999999995,0.0,0.0
217_1KLU.D,0.0,0.0,0.0027600000000000003,0.0,0.0
218_1KLU.D,0.0,0.01,0.14801,0.0,0.0
219_1KLU.D,0.0,0.01,0.0314,0.0,0.0
220_1KLU.D,0.0,0.0,0.00047000000000000004,0.0,0.0
221_1KLU.D,0.0,0.01,0.00854,0.0,0.0
222_1KLU.D,0.0,0.01,0.00031,0.0,0.0
223_1KLU.D,0.0,0.0,5e-05,0.0,0.0
224_1KLU.D,0.0,0.01,0.00016,0.0,0.0
225_1KLU.D,0.0,0.0,0.00026000000000000003,0.0,0.0
226_1KLU.D,0.0,0.01,0.0016699999999999998,0.0,0.0
227_1KLU.D,0.0,0.01,0.0010400000000000001,0.0,0.0
228_1KLU.D,0.0,0.0,0.00036,0.0,0.0
229_1KLU.D,0.0,0.01,0.00344,0.0,0.0
230_1KLU.D,0.0,0.0,0.0001,0.0,0.0
231_1KLU.D,0.0,0.0,0.00292,0.0,0.0
232_1KLU.D,0.0,0.0,0.0,0.0,0.004193290734824281
233_1KLU.D,0.0,0.01,0.0026,0.0,0.0
234_1KLU.D,0.0,0.0,0.0001,0.0,0.0
235_1KLU.D,0.0,0.01,0.00031,0.0,0.0
236_1KLU.D,0.0,0.01,0.00203,0.0,0.0
237_1KLU.D,0.0,0.02,0.00224,0.0,0.0
238_1KLU.D,0.0,0.01,0.00229,0.0,0.0
239_1KLU.D,0.0,0.01,0.00245,0.0,0.0
14_1KPE.A,0.0,0.03,0.0036899999999999997,0.0,0.0
15_1KPE.A,0.031,0.05,0.00889,0.0,0.0
16_1KPE.A,0.051,0.03,0.08088,0.0,0.0
17_1KPE.A,0.051,0.06,0.07356,0.0,0.0
18_1KPE.A,0.27899999999999997,0.77,0.09821,0.0,0.0
19_1KPE.A,0.046,0.0,0.04193,0.0,0.0
20_1KPE.A,0.0,0.0,0.0004,0.0,0.0
21_1KPE.A,0.249,0.56,0.04163,0.0,0.3
22_1KPE.A,0.031,0.0,0.02299,0.0,0.0
23_1KPE.A,0.0,0.0,0.00172,0.0,0.0
24_1KPE.A,0.0,0.14,0.01026,0.0,0.0
25_1KPE.A,0.0,0.28,0.01879,0.0,0.0
26_1KPE.A,0.0,0.48,0.01576,0.0,0.0
27_1KPE.A,0.0,0.95,0.04517,0.0,1.0
28_1KPE.A,0.0,0.97,0.041280000000000004,0.0,0.1
29_1KPE.A,0.0,0.77,0.03142,0.0,0.0
30_1KPE.A,0.0,0.51,0.06122999999999999,0.0,0.0
31_1KPE.A,0.0,0.28,0.03678,0.0,0.0
32_1KPE.A,0.0,0.07,0.037739999999999996,0.0,0.0
33_1KPE.A,0.0,0.08,0.037939999999999995,0.0,0.0
34_1KPE.A,0.0,0.18,0.02779,0.0,0.0
35_1KPE.A,0.0,0.06,0.017830000000000002,0.0,0.0
36_1KPE.A,0.0,0.03,0.01344,0.0,0.0
37_1KPE.A,0.0,0.03,0.01278,0.0,0.0
38_1KPE.A,0.0,0.0,0.00015,0.0,0.0
39_1KPE.A,0.0,0.0,0.00086,0.0,0.0
40_1KPE.A,0.0,0.0,5e-05,0.0,0.0
41_1KPE.A,0.0,0.0,0.01445,0.0,0.0
42_1KPE.A,0.0,0.97,0.04653,0.0,0.9
43_1KPE.A,0.0,0.86,0.05127999999999999,0.0,0.0
44_1KPE.A,0.0,0.96,0.09735,0.0,0.0
45_1KPE.A,0.0,0.95,0.1072,0.0,1.0
46_1KPE.A,0.0,0.88,0.0727,0.0,0.0
47_1KPE.A,0.0,0.63,0.10549000000000001,1.0,0.0
48_1KPE.A,0.16899999999999998,0.0,0.04845,0.0,0.0
49_1KPE.A,0.0,0.35,0.05931,0.0,0.0
50_1KPE.A,0.0,0.0,0.02854,0.0,0.0
51_1KPE.A,0.0,0.0,0.03152,0.0,0.0
52_1KPE.A,0.0,0.0,0.00081,0.0,0.0
53_1KPE.A,0.0,0.0,0.01187,0.0,0.33333333333333337
54_1KPE.A,0.0,0.0,0.0005099999999999999,0.0,0.0
55_1KPE.A,0.0,0.0,0.0,0.0,0.004193290734824281
56_1KPE.A,0.0,0.0,0.0002,0.0,0.0
57_1KPE.A,0.0,0.08,0.00318,0.0,0.0
58_1KPE.A,0.0,0.02,0.00586,0.0,0.0
59_1KPE.A,0.038,0.02,0.0294,0.0,0.0
60_1KPE.A,0.0,0.0,0.00596,0.0,0.0
61_1KPE.A,0.11699999999999999,0.1,0.04133,0.0,0.2
62_1KPE.A,0.16899999999999998,0.46,0.05769,0.0,0.1
63_1KPE.A,0.046,0.22,0.18445,1.0,0.0
64_1KPE.A,0.079,0.19,0.09437000000000001,1.0,0.1
65_1KPE.A,0.079,0.39,0.038239999999999996,0.0,0.2
66_1KPE.A,0.282,0.21,0.04451,1.0,0.7
67_1KPE.A,0.0,0.2,0.039560000000000005,1.0,0.0
68_1KPE.A,0.0,0.29,0.11780999999999998,1.0,0.1
69_1KPE.A,0.0,0.26,0.01344,0.0,0.0
70_1KPE.A,0.0,0.0,0.01435,0.0,0.0
71_1KPE.A,0.0,0.85,0.26175,1.0,0.0
72_1KPE.A,0.0,0.82,0.06345,0.0,0.0
73_1KPE.A,0.0,0.23,0.00434,0.0,0.0
74_1KPE.A,0.0,0.35,0.14151,0.0,0.0
75_1KPE.A,0.0,0.96,0.20294,1.0,0.1
76_1KPE.A,0.0,0.18,0.035519999999999996,1.0,0.0
77_1KPE.A,0.0,0.0,0.01622,0.0,0.0
78_1KPE.A,0.16899999999999998,0.98,0.62873,1.0,0.4
79_1KPE.A,0.0,0.84,0.25451999999999997,0.0,0.0
80_1KPE.A,0.0,0.0,0.00783,0.0,0.0
81_1KPE.A,0.0,0.0,0.01258,0.0,0.0
82_1KPE.A,0.0,0.74,0.40239,1.0,0.0
83_1KPE.A,0.0,0.8,0.0772,1.0,0.0
84_1KPE.A,0.0,0.0,0.01915,0.0,0.0
85_1KPE.A,0.0,0.0,0.02804,0.0,0.0
86_1KPE.A,0.079,0.88,0.08326,0.0,0.2
87_1KPE.A,0.0,0.6,0.06093,0.0,0.0
88_1KPE.A,0.0,0.15,0.042289999999999994,0.0,0.0
89_1KPE.A,0.0,0.41,0.04188,0.0,0.2
90_1KPE.A,0.031,0.0,0.13832,0.0,0.0
91_1KPE.A,0.249,0.65,0.26195,0.0,0.6
92_1KPE.A,0.466,0.94,0.44988,1.0,0.1
93_1KPE.A,0.131,0.67,0.48478999999999994,1.0,0.4
94_1KPE.A,0.17300000000000001,0.25,0.7155199999999999,1.0,0.4
95_1KPE.A,0.368,0.85,0.78832,1.0,0.6
96_1KPE.A,0.16899999999999998,0.97,0.72987,1.0,0.8
97_1KPE.A,0.16899999999999998,0.75,0.34889000000000003,1.0,0.4
98_1KPE.A,0.16899999999999998,0.97,0.34485,1.0,0.1
99_1KPE.A,0.031,0.96,0.13979,1.0,0.1
100_1KPE.A,0.079,0.99,0.15348,1.0,0.2
101_1KPE.A,0.17300000000000001,0.0,0.07336000000000001,0.0,0.1
102_1KPE.A,0.27899999999999997,0.55,0.12979000000000002,1.0,0.0
103_1KPE.A,0.16899999999999998,0.98,0.19657,1.0,0.3
104_1KPE.A,0.27899999999999997,0.99,0.13934000000000002,1.0,0.1
105_1KPE.A,0.368,0.98,0.09447,0.0,0.0
106_1KPE.A,0.249,0.0,0.09331,0.0,0.0
107_1KPE.A,0.11699999999999999,0.84,0.12918,0.0,0.2
108_1KPE.A,0.27899999999999997,0.0,0.09609,0.0,0.0
109_1KPE.A,0.281,0.76,0.11807000000000001,0.0,0.1
110_1KPE.A,0.0,0.0,0.00232,0.0,0.0
111_1KPE.A,0.0,0.0,0.00748,0.0,0.0
112_1KPE.A,0.0,0.0,0.01652,0.0,0.0
113_1KPE.A,0.0,0.0,0.1647,0.0,0.0
114_1KPE.A,0.16899999999999998,0.0,0.036019999999999996,1.0,0.6
115_1KPE.A,0.0,0.0,0.01162,0.0,0.0
116_1KPE.A,0.079,0.0,0.051379999999999995,0.0,0.1
117_1KPE.A,0.0,0.0,0.03036,0.0,0.0
118_1KPE.A,0.079,0.17,0.05582,0.0,0.1
119_1KPE.A,0.11699999999999999,0.27,0.18076,1.0,0.3
120_1KPE.A,0.19699999999999998,0.71,0.45074,1.0,0.5
121_1KPE.A,1.0,0.0,0.38678,1.0,0.0
122_1KPE.A,0.598,0.88,0.33409,1.0,0.0
123_1KPE.A,0.598,0.77,1.0,1.0,0.7
124_1KPE.A,0.598,0.69,0.35693,1.0,0.3
125_1KPE.A,0.41700000000000004,0.96,0.52425,1.0,0.6
126_1KPE.A,0.598,0.96,0.22981999999999997,1.0,0.5
13_1KTZ.A,0.0,0.62,0.18722,0.0,0.2
14_1KTZ.A,0.028999999999999998,0.7,0.06355,0.0,0.0
15_1KTZ.A,0.024,0.45,0.02121,0.0,0.0
16_1KTZ.A,0.028999999999999998,0.62,0.05093,0.0,0.0
17_1KTZ.A,0.048,0.3,0.08789,0.0,0.1
18_1KTZ.A,0.132,0.73,0.23292,0.0,0.6
19_1KTZ.A,0.28,0.79,0.40393,0.0,0.3
20_1KTZ.A,1.0,0.44,0.514,0.0,0.3
21_1KTZ.A,0.496,0.19,0.52035,0.0,0.5
22_1KTZ.A,0.76,0.79,0.35015999999999997,0.0,0.5
23_1KTZ.A,0.28,0.4,0.23023000000000002,0.0,0.4
24_1KTZ.A,0.0,0.0,0.049510000000000005,0.0,0.0
25_1KTZ.A,0.466,0.43,0.16519,1.0,0.2
26_1KTZ.A,0.282,0.19,0.30236999999999997,0.0,0.2
27_1KTZ.A,0.304,0.11,0.57106,0.0,0.2
28_1KTZ.A,0.0,0.25,0.78508,0.0,0.0
29_1KTZ.A,0.0,0.19,0.58002,0.0,0.6
30_1KTZ.A,0.0,0.95,1.0,0.0,0.8
31_1KTZ.A,0.317,0.85,0.41923999999999995,1.0,0.7
32_1KTZ.A,0.466,0.98,0.89665,0.0,0.6
33_1KTZ.A,0.0,0.0,0.04092,0.0,0.0
34_1KTZ.A,0.41600000000000004,0.77,0.08625,1.0,0.1
35_1KTZ.A,0.282,0.12,0.15503,0.0,0.1
36_1KTZ.A,0.215,0.17,0.18206,0.0,0.2
37_1KTZ.A,0.128,0.15,0.23546,0.0,0.0
38_1KTZ.A,0.0,0.0,0.22134,0.0,0.0
39_1KTZ.A,0.44799999999999995,0.0,0.52461,0.0,0.7
40_1KTZ.A,0.496,0.17,0.47771,0.0,0.5
41_1KTZ.A,0.698,0.0,0.21813000000000002,0.0,0.1
42_1KTZ.A,0.46799999999999997,0.71,0.34956,0.0,0.5
43_1KTZ.A,0.44799999999999995,0.43,0.52595,0.0,0.2
44_1KTZ.A,0.282,0.0,0.27444,0.0,0.2
45_1KTZ.A,0.0,0.8,0.29139,0.0,0.2
46_1KTZ.A,0.0,0.35,0.19289,0.0,0.3
47_1KTZ.A,0.039,0.33,0.21431999999999998,0.0,0.0
48_1KTZ.A,0.063,0.3,0.1896,0.0,0.0
49_1KTZ.A,0.28,0.17,0.16085,0.0,0.0
50_1KTZ.A,0.28,0.39,0.29266,0.0,0.1
51_1KTZ.A,0.64,0.41,0.18370999999999998,0.0,0.5
52_1KTZ.A,0.44799999999999995,0.16,0.13927,0.0,0.0
53_1KTZ.A,0.282,0.17,0.05944,0.0,0.1
54_1KTZ.A,0.0,0.25,0.03607,0.0,0.0
73_1KTZ.A,0.0,0.34,0.22664,0.0,0.0
74_1KTZ.A,0.0,0.63,0.24045999999999998,0.0,0.0
75_1KTZ.A,0.0,0.13,0.27533,0.0,0.8
76_1KTZ.A,0.0,0.0,0.14002,0.0,0.0
77_1KTZ.A,0.0,0.38,0.30662,0.0,1.0
78_1KTZ.A,0.0,0.0,0.2188,0.0,0.0
79_1KTZ.A,0.0,0.36,0.25734,0.0,0.0
80_1KTZ.A,0.0,0.12,0.29699000000000003,0.0,0.0
81_1KTZ.A,0.0,0.31,0.05631,0.0,0.0
82_1KTZ.A,0.0,0.19,0.030539999999999998,0.0,0.0
83_1KTZ.A,0.0,0.05,0.30751999999999996,0.0,0.0
84_1KTZ.A,0.0,0.03,0.049510000000000005,0.0,0.0
85_1KTZ.A,0.0,0.02,0.06302999999999999,0.0,0.0
86_1KTZ.A,0.0,0.0,0.10126,0.0,0.0
87_1KTZ.A,0.0,0.02,0.08961000000000001,0.0,0.0
88_1KTZ.A,0.0,0.0,0.15428,0.0,0.0
89_1KTZ.A,0.0,0.68,0.04174,0.0,0.0
90_1KTZ.A,1.0,0.93,0.61429,0.0,0.7
91_1KTZ.A,1.0,0.97,0.3536,1.0,1.0
92_1KTZ.A,0.502,0.95,0.45253999999999994,1.0,0.4
93_1KTZ.A,0.616,0.96,0.22956,1.0,0.4
94_1KTZ.A,0.466,0.69,0.1165,1.0,0.0
95_1KTZ.A,0.466,0.83,0.053689999999999995,0.0,0.1
96_1KTZ.A,0.215,0.3,0.03323,0.0,0.1
97_1KTZ.A,0.0,0.11,0.20872,0.0,0.2
98_1KTZ.A,0.0,0.29,0.06878,0.0,0.0
99_1KTZ.A,0.0,0.11,0.53641,0.0,0.0
100_1KTZ.A,0.0,0.36,0.21343,0.0,0.0
101_1KTZ.A,0.0,0.56,0.56366,0.0,0.9
102_1KTZ.A,0.0,0.29,0.52625,0.0,0.2
103_1KTZ.A,0.0,0.09,0.56687,0.0,0.1
104_1KTZ.A,0.0,0.54,0.62221,0.0,0.1
105_1KTZ.A,0.0,0.0,0.14472000000000002,0.0,0.0
106_1KTZ.A,0.0,0.0,0.21888000000000002,0.0,0.0
107_1KTZ.A,0.0,0.54,0.14726,0.0,0.0
108_1KTZ.A,0.0,0.3,0.01762,0.0,0.0
109_1KTZ.A,0.0,0.28,0.01314,0.0,0.0
110_1KTZ.A,0.0,0.19,0.07632,0.0,0.8
111_1KTZ.A,0.0,0.22,0.01994,0.0,0.0
112_1KTZ.A,0.0,0.04,0.10903,0.0,1.0
4_1KXP.A,0.0,0.14,0.03234,0.0,0.0
5_1KXP.A,0.0,0.05,0.01648,0.0,0.0
6_1KXP.A,0.0,0.04,0.017269999999999997,0.0,0.0
7_1KXP.A,0.0,0.0,0.00337,0.0,0.0
8_1KXP.A,0.0,0.0,0.00031,0.0,0.0
9_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
10_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
11_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
12_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
13_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
14_1KXP.A,0.0,0.0,0.00165,0.0,0.0
15_1KXP.A,0.0,0.0,0.00047000000000000004,0.0,0.0
16_1KXP.A,0.0,0.53,0.009890000000000001,0.0,0.0
17_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
18_1KXP.A,0.0,0.0,0.00063,0.0,0.0
19_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
20_1KXP.A,0.0,0.0,0.00016,0.0,0.0
21_1KXP.A,0.0,0.0,0.02645,0.0,0.0
22_1KXP.A,0.0,0.0,0.00997,0.0,0.0
23_1KXP.A,0.0,0.7,0.03242,0.0,0.1
24_1KXP.A,0.0,0.58,0.03681,0.0,0.0
25_1KXP.A,0.0,0.62,0.0631,0.0,0.0
26_1KXP.A,0.0,0.27,0.03563,0.0,0.4
27_1KXP.A,0.0,0.0,0.03147,0.0,0.0
28_1KXP.A,0.0,0.43,0.0591,0.0,0.0
29_1KXP.A,0.0,0.0,0.01719,0.0,0.0
30_1KXP.A,0.0,0.24,0.03414,0.0,0.0
31_1KXP.A,0.0,0.0,0.01405,0.0,0.0
32_1KXP.A,0.0,0.09,0.00573,0.0,0.0
33_1KXP.A,0.0,0.0,8e-05,0.0,0.0
34_1KXP.A,0.0,0.0,0.0018100000000000002,0.0,0.0
35_1KXP.A,0.0,0.0,0.00157,0.0,0.0
36_1KXP.A,0.0,0.0,0.0022,0.0,0.0
37_1KXP.A,0.06,0.26,0.04882,0.0,0.0
38_1KXP.A,0.06,0.21,0.1441,0.0,0.0
39_1KXP.A,0.324,0.33,0.14175,0.0,0.2
52_1KXP.A,0.026000000000000002,0.2,0.15045999999999998,0.0,0.0
53_1KXP.A,0.023,0.12,0.17942,0.0,0.0
54_1KXP.A,0.0,0.0,0.0376,0.0,0.0
55_1KXP.A,0.0,0.0,0.00275,0.0,0.0
56_1KXP.A,0.0,0.06,0.03595,0.0,0.0
57_1KXP.A,0.0,0.18,0.11663,0.0,0.0
58_1KXP.A,0.0,0.0,0.0010199999999999999,0.0,0.0
59_1KXP.A,0.0,0.1,0.02386,0.0,0.0
60_1KXP.A,0.0,0.07,0.047639999999999995,0.0,0.0
61_1KXP.A,0.0,0.1,0.12000999999999999,0.0,0.0
62_1KXP.A,0.0,0.46,0.05314,0.0,0.0
63_1KXP.A,0.0,0.22,0.0748,0.0,0.0
64_1KXP.A,0.29,0.4,0.13617,0.0,0.2
65_1KXP.A,0.0,0.0,0.07197,0.0,0.0
66_1KXP.A,0.016,0.22,0.06797,0.0,0.0
67_1KXP.A,0.0,0.09,0.052739999999999995,0.0,0.0
68_1KXP.A,0.0,0.18,0.06255,0.0,0.0
69_1KXP.A,0.06,0.19,0.06334,0.0,0.0
70_1KXP.A,0.0,0.0,0.00494,0.0,0.0
71_1KXP.A,0.0,0.0,0.00322,0.0,0.0
72_1KXP.A,0.0,0.11,0.07433,0.0,0.0
73_1KXP.A,0.0,0.26,0.06067,0.0,0.7
74_1KXP.A,0.0,0.0,0.0011,0.0,0.0
75_1KXP.A,0.0,0.97,0.037989999999999996,0.0,0.0
76_1KXP.A,0.0,0.0,0.01915,0.0,0.0
77_1KXP.A,0.0,0.42,0.054310000000000004,0.0,0.0
78_1KXP.A,0.0,0.49,0.031389999999999994,0.0,0.0
79_1KXP.A,0.016,0.51,0.03493,0.0,0.0
80_1KXP.A,0.016,0.77,0.0496,0.0,0.0
81_1KXP.A,0.0,0.0,0.0095,0.0,0.0
82_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
83_1KXP.A,0.016,0.7,0.05392,0.0,0.0
84_1KXP.A,0.0,0.81,0.07982,0.0,0.0
85_1KXP.A,0.0,0.0,0.00063,0.0,0.0
86_1KXP.A,0.0,0.0,0.00063,0.0,0.0
87_1KXP.A,0.04,0.3,0.14214000000000002,0.0,0.3
88_1KXP.A,0.086,0.0,0.056510000000000005,0.0,0.0
89_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
90_1KXP.A,0.0,0.0,0.00447,0.0,0.0
91_1KXP.A,0.0,0.32,0.1419,0.0,0.0
92_1KXP.A,0.0,0.27,0.12345999999999999,0.0,0.0
93_1KXP.A,0.0,0.76,0.03642,0.0,0.0
94_1KXP.A,0.0,0.0,0.02402,0.0,0.0
95_1KXP.A,0.0,0.48,0.11285999999999999,0.0,0.0
96_1KXP.A,0.0,0.0,0.05117,0.0,0.0
97_1KXP.A,0.0,0.12,0.05894,0.0,0.0
98_1KXP.A,0.0,0.0,0.02017,0.0,0.0
99_1KXP.A,0.0,0.07,0.08367000000000001,0.0,0.0
100_1KXP.A,0.0,0.04,0.04992,0.0,0.0
101_1KXP.A,0.0,0.0,0.01491,0.0,0.0
102_1KXP.A,0.016,0.02,0.00479,0.0,0.0
103_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
104_1KXP.A,0.0,0.0,0.0022,0.0,0.0
105_1KXP.A,0.0,0.0,8e-05,0.0,0.0
106_1KXP.A,0.0,0.0,8e-05,0.0,0.0
107_1KXP.A,0.0,0.0,0.10203,0.0,0.0
108_1KXP.A,0.0,0.0,0.01067,0.0,0.0
109_1KXP.A,0.0,0.0,0.01994,0.0,0.0
110_1KXP.A,0.0,0.98,0.15297,0.0,0.0
111_1KXP.A,0.0,0.0,0.06852000000000001,0.0,0.0
112_1KXP.A,0.0,0.97,0.08288,0.0,0.0
113_1KXP.A,0.0,0.74,0.6151800000000001,0.0,0.0
114_1KXP.A,0.0,0.41,0.06569,0.0,0.0
115_1KXP.A,0.0,0.0,0.02723,0.0,0.0
116_1KXP.A,0.0,0.97,0.38066,0.0,0.0
117_1KXP.A,0.0,0.94,0.22721999999999998,0.0,0.0
118_1KXP.A,0.0,0.91,0.027710000000000002,0.0,0.0
119_1KXP.A,0.0,0.0,0.00023999999999999998,0.0,0.0
120_1KXP.A,0.0,0.0,0.059179999999999996,0.0,0.0
121_1KXP.A,0.0,0.72,0.01892,0.0,0.0
122_1KXP.A,0.0,0.0,0.0022,0.0,0.0
123_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
124_1KXP.A,0.0,0.0,0.01326,0.0,0.0
125_1KXP.A,0.0,0.82,0.0361,0.0,1.0
126_1KXP.A,0.0,0.16,0.07001,0.0,0.1
127_1KXP.A,0.0,0.0,0.06365,0.0,0.0
128_1KXP.A,0.0,0.05,0.05172,0.0,0.0
129_1KXP.A,0.0,0.0,0.00047000000000000004,0.0,0.0
130_1KXP.A,0.016,0.03,0.00518,0.0,0.0
131_1KXP.A,0.016,0.0,0.004,0.0,0.0
132_1KXP.A,0.0,0.0,0.03257,0.0,0.0
133_1KXP.A,0.127,0.38,0.66392,0.0,0.1
134_1KXP.A,0.027999999999999997,0.0,0.24095,0.0,0.0
135_1KXP.A,0.0,0.0,0.16671,0.0,0.0
136_1KXP.A,0.0,0.95,0.31151,0.0,0.9
137_1KXP.A,0.0,0.0,0.00023999999999999998,0.0,0.0
138_1KXP.A,0.0,0.0,0.00016,0.0,0.0
139_1KXP.A,0.08800000000000001,0.0,0.17997,0.0,0.0
140_1KXP.A,0.0,0.0,0.02621,0.0,0.0
141_1KXP.A,0.0,0.0,0.00078,0.0,0.0
142_1KXP.A,0.0,0.0,0.00141,0.0,0.0
143_1KXP.A,0.196,0.88,0.46188999999999997,0.0,0.6
144_1KXP.A,0.04,0.76,0.03477,1.0,0.0
145_1KXP.A,0.0,0.63,0.05212000000000001,1.0,0.0
146_1KXP.A,0.203,0.94,0.08743,1.0,0.1
147_1KXP.A,0.27899999999999997,0.6,0.08995,1.0,0.2
148_1KXP.A,0.142,0.24,0.2222,0.0,0.7
149_1KXP.A,0.237,0.0,0.05047,0.0,0.1
150_1KXP.A,0.0,0.0,0.00016,0.0,0.0
151_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
152_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
153_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
154_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
155_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
156_1KXP.A,0.0,0.04,0.0,0.0,0.19999999999999998
157_1KXP.A,0.0,0.07,0.00251,0.0,0.0
158_1KXP.A,0.0,0.0,0.00675,0.0,0.0
159_1KXP.A,0.0,0.0,0.00055,0.0,0.0
160_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
161_1KXP.A,0.0,0.0,0.01405,0.0,0.0
162_1KXP.A,0.0,0.0,0.0,0.0,0.004193290734824281
163_1KXP.A,0.0,0.0,0.00173,0.0,0.0
164_1KXP.A,0.0,0.0,0.00055,0.0,0.0
165_1KXP.A,0.0,0.0,0.01687,0.0,0.0
166_1KXP.A,0.41200000000000003,0.34,0.63888,1.0,0.3
167_1KXP.A,0.336,0.53,0.7599899999999999,1.0,0.6
168_1KXP.A,0.41200000000000003,0.89,0.62271,0.0,0.4
