residue,predus,ispred,dockpred,logreg,annotated
237_1FRV.A,0.0,0.97,0.171,0.293,1.0
238_1FRV.A,0.0,0.0,0.103,0.026,1.0
239_1FRV.A,0.148,0.94,0.206,0.346,1.0
241_1FRV.A,0.067,0.56,0.09,0.115,1.0
242_1FRV.A,0.0,0.71,0.309,0.222,1.0
243_1FRV.A,0.112,0.81,0.212,0.264,1.0
245_1FRV.A,0.0,0.0,0.173,0.031,1.0
255_1FRV.A,0.218,0.95,0.788,0.7,1.0
256_1FRV.A,0.112,0.87,0.27,0.324,1.0
261_1FRV.A,0.543,0.78,0.823,0.734,1.0
262_1FRV.A,0.433,0.99,1.0,0.858,1.0
70_1FSS.A,0.05,0.03,0.2,0.038,1.0
71_1FSS.A,0.074,0.97,0.082,0.276,1.0
73_1FSS.A,0.074,0.71,0.202,0.201,1.0
75_1FSS.A,0.083,0.0,0.137,0.033,1.0
76_1FSS.A,0.083,0.65,0.199,0.178,1.0
82_1FSS.A,0.074,0.45,0.075,0.086,1.0
85_1FSS.A,0.0,0.0,0.016,0.022,1.0
90_1FSS.A,0.0,0.91,0.035,0.205,1.0
275_1FSS.A,0.0,0.0,0.067,0.024,1.0
276_1FSS.A,0.0,0.02,0.164,0.032,1.0
279_1FSS.A,0.0,0.1,0.201,0.042,1.0
285_1FSS.A,0.0,0.05,0.262,0.043,1.0
286_1FSS.A,0.0,0.11,0.111,0.036,1.0
334_1FSS.A,0.0,0.13,0.209,0.046,1.0
341_1FSS.A,0.0,0.01,0.111,0.028,1.0
70_1GHQ.A,0.0,0.26,0.06,0.046,1.0
116_1GHQ.A,0.0,0.01,0.038,0.023,1.0
117_1GHQ.A,0.0,0.02,0.046,0.024,1.0
119_1GHQ.A,0.0,0.0,0.009,0.021,1.0
170_1GHQ.A,0.0,0.06,0.03,0.026,1.0
38_1GLA.F,0.426,0.08,0.222,0.082,1.0
40_1GLA.F,0.706,0.3,0.319,0.242,1.0
41_1GLA.F,1.0,0.0,0.196,0.15,1.0
43_1GLA.F,0.706,0.69,0.084,0.343,1.0
71_1GLA.F,0.676,0.15,0.396,0.196,1.0
78_1GLA.F,0.324,0.31,0.179,0.112,1.0
96_1GLA.F,0.0,0.05,0.263,0.043,1.0
58_1GPE.A,0.0,0.33,0.073,0.057,1.0
59_1GPE.A,0.0,0.0,0.026,0.022,1.0
60_1GPE.A,0.0,0.0,0.048,0.023,1.0
62_1GPE.A,0.377,0.2,0.025,0.067,1.0
63_1GPE.A,0.255,0.21,0.045,0.059,1.0
66_1GPE.A,0.08,0.88,0.027,0.211,1.0
79_1GPE.A,0.227,0.98,0.059,0.324,1.0
80_1GPE.A,0.173,0.54,0.082,0.126,1.0
84_1GPE.A,0.0,0.92,0.047,0.214,1.0
86_1GPE.A,0.0,0.77,0.037,0.152,1.0
94_1GPE.A,0.0,0.91,0.027,0.202,1.0
97_1GPE.A,0.0,0.55,0.03,0.089,1.0
275_1GPE.A,0.0,0.87,0.063,0.198,1.0
276_1GPE.A,0.0,0.94,0.05,0.224,1.0
277_1GPE.A,0.0,0.93,0.083,0.233,1.0
278_1GPE.A,0.0,0.97,0.094,0.257,1.0
341_1GPE.A,0.0,0.16,0.584,0.111,1.0
448_1GPE.A,0.0,0.0,0.052,0.023,1.0
449_1GPE.A,0.0,0.98,0.042,0.24,1.0
450_1GPE.A,0.0,0.83,0.032,0.172,1.0
451_1GPE.A,0.0,0.3,0.022,0.047,1.0
488_1GPE.A,0.0,0.04,0.575,0.082,1.0
491_1GPE.A,0.0,0.0,0.537,0.068,1.0
492_1GPE.A,0.0,0.96,0.266,0.334,1.0
495_1GPE.A,0.0,0.0,0.485,0.061,1.0
496_1GPE.A,0.0,0.99,1.0,0.746,1.0
497_1GPE.A,0.0,0.6,0.351,0.19,1.0
500_1GPE.A,0.0,0.17,0.781,0.168,1.0
529_1GUX.A,0.0,0.79,0.656,0.439,1.0
533_1GUX.A,0.0,0.98,0.431,0.436,1.0
552_1GUX.A,0.274,0.94,0.142,0.36,1.0
554_1GUX.A,0.404,0.0,0.366,0.088,1.0
558_1GUX.A,0.453,0.98,0.815,0.799,1.0
559_1GUX.A,0.453,0.98,0.606,0.711,1.0
563_1GUX.A,0.678,0.98,1.0,0.898,1.0
564_1GUX.A,0.757,0.99,0.239,0.642,1.0
565_1GUX.A,0.453,0.95,0.273,0.513,1.0
570_1GUX.A,1.0,0.98,0.499,0.827,1.0
573_1GUX.A,1.0,0.99,0.753,0.898,1.0
574_1GUX.A,0.996,0.83,0.284,0.66,1.0
577_1GUX.A,1.0,0.45,0.707,0.654,1.0
547_1GXD.A,0.0,0.02,0.005,0.022,1.0
550_1GXD.A,0.0,0.01,0.002,0.022,1.0
552_1GXD.A,0.0,0.0,0.003,0.021,1.0
559_1GXD.A,0.0,0.0,0.002,0.021,1.0
561_1GXD.A,0.0,0.0,0.003,0.021,1.0
566_1GXD.A,0.0,0.03,0.007,0.023,1.0
570_1GXD.A,0.0,0.05,0.012,0.024,1.0
575_1GXD.A,0.0,0.16,0.008,0.032,1.0
579_1GXD.A,0.0,0.94,0.015,0.211,1.0
580_1GXD.A,0.0,0.46,0.008,0.068,1.0
581_1GXD.A,0.0,0.0,0.016,0.022,1.0
582_1GXD.A,0.0,0.24,0.066,0.045,1.0
586_1GXD.A,0.0,0.03,0.094,0.028,1.0
607_1GXD.A,0.0,0.04,0.246,0.04,1.0
616_1GXD.A,0.0,0.01,0.01,0.022,1.0
617_1GXD.A,0.0,0.02,0.059,0.025,1.0
618_1GXD.A,0.0,0.02,0.126,0.029,1.0
620_1GXD.A,0.0,0.02,0.136,0.03,1.0
621_1GXD.A,0.0,0.02,0.255,0.039,1.0
622_1GXD.A,0.0,0.0,0.11,0.027,1.0
623_1GXD.A,0.0,0.02,0.128,0.029,1.0
136_1GXD.C,0.905,0.95,0.682,0.852,1.0
138_1GXD.C,0.465,0.99,0.671,0.749,1.0
139_1GXD.C,0.182,0.97,0.836,0.721,1.0
147_1GXD.C,0.199,0.97,0.652,0.635,1.0
152_1GXD.C,0.933,0.93,0.401,0.749,1.0
153_1GXD.C,0.0,0.45,0.448,0.165,1.0
170_1GXD.C,0.0,0.44,0.486,0.173,1.0
172_1GXD.C,0.0,0.43,0.088,0.076,1.0
174_1GXD.C,0.0,0.0,0.107,0.027,1.0
177_1GXD.C,0.12,0.1,0.806,0.178,1.0
179_1GXD.C,0.0,0.89,0.754,0.561,1.0
185_1GXD.C,0.0,0.07,0.389,0.059,1.0
186_1GXD.C,0.427,0.03,0.564,0.147,1.0
187_1GXD.C,0.427,0.03,0.751,0.21,1.0
188_1GXD.C,0.562,0.14,1.0,0.44,1.0
189_1GXD.C,0.929,0.14,0.345,0.243,1.0
190_1GXD.C,0.562,0.14,0.321,0.142,1.0
192_1GXD.C,0.0,0.11,0.194,0.043,1.0
28_1H2A.L,0.0,0.86,0.315,0.301,1.0
29_1H2A.L,0.0,0.97,0.242,0.327,1.0
31_1H2A.L,0.0,0.94,0.163,0.273,1.0
32_1H2A.L,0.0,0.96,0.155,0.28,1.0
34_1H2A.L,0.0,0.98,0.16,0.293,1.0
36_1H2A.L,0.0,0.98,0.56,0.51,1.0
38_1H2A.L,0.0,0.39,0.225,0.091,1.0
56_1H2A.L,0.183,0.97,0.677,0.643,1.0
57_1H2A.L,0.0,0.91,0.816,0.609,1.0
58_1H2A.L,0.241,0.97,0.99,0.803,1.0
59_1H2A.L,0.0,0.9,0.84,0.616,1.0
64_1H2A.L,0.0,0.96,0.631,0.537,1.0
68_1H2A.L,0.0,0.97,0.423,0.425,1.0
72_1H2A.L,0.0,0.96,0.176,0.29,1.0
74_1H2A.L,0.0,0.0,0.047,0.023,1.0
75_1H2A.L,0.0,0.43,0.241,0.104,1.0
76_1H2A.L,0.0,0.99,0.33,0.386,1.0
79_1H2A.L,0.0,0.96,0.302,0.352,1.0
81_1H2A.L,0.0,0.0,0.064,0.024,1.0
82_1H2A.L,0.0,0.24,0.133,0.052,1.0
83_1H2A.L,0.0,0.97,0.111,0.265,1.0
122_1H2A.L,0.0,0.0,0.074,0.025,1.0
131_1H2A.L,0.0,0.93,0.105,0.242,1.0
173_1H2A.L,0.0,0.63,0.232,0.162,1.0
177_1H2A.L,0.0,0.85,0.332,0.304,1.0
180_1H2A.L,0.0,0.93,0.2,0.284,1.0
182_1H2A.L,0.241,0.99,0.363,0.503,1.0
184_1H2A.L,0.0,0.98,0.365,0.399,1.0
185_1H2A.L,0.0,0.97,0.392,0.408,1.0
187_1H2A.L,0.0,0.98,0.205,0.314,1.0
188_1H2A.L,0.0,0.99,0.163,0.3,1.0
190_1H2A.L,0.0,0.51,0.085,0.091,1.0
217_1H2A.L,0.0,0.97,0.216,0.315,1.0
219_1H2A.L,0.0,0.97,0.168,0.291,1.0
224_1H2A.L,0.0,0.93,0.075,0.229,1.0
227_1H2A.L,0.0,0.61,0.028,0.103,1.0
228_1H2A.L,0.0,0.0,0.016,0.022,1.0
230_1H2A.L,0.0,0.0,0.026,0.022,1.0
231_1H2A.L,0.0,0.69,0.08,0.138,1.0
232_1H2A.L,0.0,0.66,0.147,0.147,1.0
233_1H2A.L,0.0,0.27,0.112,0.053,1.0
234_1H2A.L,0.0,0.87,0.18,0.244,1.0
235_1H2A.L,0.0,0.97,0.155,0.285,1.0
237_1H2A.L,0.0,0.62,0.219,0.155,1.0
239_1H2A.L,0.0,0.0,0.053,0.024,1.0
240_1H2A.L,0.0,0.79,0.276,0.246,1.0
245_1H2A.L,0.183,0.87,0.398,0.42,1.0
246_1H2A.L,0.27,0.0,0.111,0.041,1.0
247_1H2A.L,0.398,0.95,0.579,0.661,1.0
254_1H2A.L,0.241,0.74,0.045,0.201,1.0
257_1H2A.L,0.0,0.15,0.015,0.032,1.0
361_1H2A.L,1.0,0.67,1.0,0.869,1.0
372_1H2A.L,0.398,0.0,0.928,0.259,1.0
457_1H2A.L,0.278,0.92,0.361,0.471,1.0
460_1H2A.L,0.183,0.97,0.498,0.544,1.0
47_1HGX.A,0.0,0.98,0.216,0.32,1.0
50_1HGX.A,0.0,0.99,0.262,0.349,1.0
51_1HGX.A,0.0,0.58,0.282,0.16,1.0
54_1HGX.A,0.0,0.98,0.279,0.352,1.0
55_1HGX.A,0.0,0.0,0.13,0.028,1.0
57_1HGX.A,0.0,0.99,0.141,0.289,1.0
58_1HGX.A,0.0,0.95,0.247,0.318,1.0
60_1HGX.A,0.0,0.0,0.058,0.024,1.0
61_1HGX.A,0.0,0.76,0.063,0.156,1.0
63_1HGX.A,0.0,0.45,0.066,0.076,1.0
64_1HGX.A,0.0,0.23,0.085,0.046,1.0
66_1HGX.A,0.0,0.69,0.169,0.164,1.0
68_1HGX.A,0.0,0.96,0.264,0.333,1.0
87_1HGX.A,0.0,0.96,0.135,0.27,1.0
165_1HGX.A,0.785,0.97,0.233,0.638,1.0
166_1HGX.A,0.757,0.94,0.203,0.591,1.0
169_1HGX.A,0.475,0.98,0.251,0.529,1.0
170_1HGX.A,0.0,0.91,0.226,0.286,1.0
40_1HJR.A,0.0,0.99,0.094,0.268,1.0
44_1HJR.A,0.0,0.94,0.176,0.279,1.0
45_1HJR.A,0.0,0.93,0.165,0.268,1.0
48_1HJR.A,0.0,0.94,0.194,0.287,1.0
69_1HJR.A,0.432,0.96,0.587,0.683,1.0
74_1HJR.A,0.639,0.98,0.103,0.512,1.0
77_1HJR.A,0.945,0.98,0.155,0.663,1.0
78_1HJR.A,0.259,0.97,0.19,0.399,1.0
81_1HJR.A,0.0,0.64,0.215,0.16,1.0
82_1HJR.A,0.259,0.98,0.215,0.419,1.0
84_1HJR.A,0.122,0.86,0.252,0.313,1.0
85_1HJR.A,0.0,0.95,0.245,0.317,1.0
88_1HJR.A,0.18,0.95,0.269,0.398,1.0
92_1HJR.A,0.122,0.99,0.407,0.479,1.0
93_1HJR.A,0.122,0.95,0.262,0.372,1.0
166_1HLU.A,0.706,0.1,0.862,0.396,1.0
169_1HLU.A,1.0,0.27,1.0,0.697,1.0
286_1HLU.A,0.0,0.02,0.491,0.065,1.0
287_1HLU.A,0.0,0.03,0.168,0.033,1.0
288_1HLU.A,0.0,0.04,0.412,0.058,1.0
290_1HLU.A,0.0,0.01,0.108,0.027,1.0
361_1HLU.A,0.0,0.13,0.134,0.039,1.0
371_1HLU.A,0.426,0.04,0.294,0.087,1.0
372_1HLU.A,0.426,0.05,0.652,0.182,1.0
373_1HLU.A,0.442,0.01,0.561,0.143,1.0
375_1HLU.A,0.757,0.01,0.909,0.385,1.0
27_1HSS.A,0.0,0.5,0.09,0.09,1.0
29_1HSS.A,0.0,0.49,0.079,0.086,1.0
31_1HSS.A,0.0,0.99,0.087,0.264,1.0
35_1HSS.A,0.0,0.16,0.06,0.036,1.0
38_1HSS.A,0.042,0.3,0.049,0.054,1.0
84_1HSS.A,0.0,0.97,0.097,0.259,1.0
90_1HSS.A,0.148,0.2,0.098,0.055,1.0
94_1HSS.A,0.13,0.49,0.103,0.11,1.0
100_1HSS.A,0.069,0.52,0.214,0.135,1.0
106_1HSS.A,0.218,0.89,0.224,0.352,1.0
108_1HSS.A,0.088,0.69,0.28,0.227,1.0
110_1HSS.A,0.146,0.92,0.148,0.304,1.0
111_1HSS.A,0.148,0.9,0.175,0.307,1.0
113_1HSS.A,0.069,0.97,0.239,0.352,1.0
114_1HSS.A,0.13,0.96,0.108,0.302,1.0
19_1I2M.A,0.0,0.05,0.371,0.054,1.0
20_1I2M.A,0.0,0.1,0.258,0.048,1.0
67_1I2M.A,0.0,0.21,0.365,0.079,1.0
71_1I2M.A,0.422,0.52,0.604,0.407,1.0
72_1I2M.A,0.83,0.99,1.0,0.921,1.0
73_1I2M.A,0.377,0.82,0.781,0.679,1.0
74_1I2M.A,0.178,0.76,0.72,0.53,1.0
76_1I2M.A,0.422,0.83,0.523,0.564,1.0
93_1I2M.A,0.0,0.0,0.065,0.024,1.0
94_1I2M.A,0.001,0.26,0.165,0.059,1.0
95_1I2M.A,0.0,0.25,0.215,0.064,1.0
96_1I2M.A,0.84,0.9,0.292,0.647,1.0
97_1I2M.A,0.0,0.0,0.081,0.025,1.0
98_1I2M.A,0.377,0.21,0.2,0.099,1.0
99_1I2M.A,0.44,0.93,0.431,0.585,1.0
100_1I2M.A,0.584,0.31,0.184,0.164,1.0
102_1I2M.A,0.584,0.93,0.147,0.482,1.0
103_1I2M.A,0.584,0.69,0.162,0.338,1.0
106_1I2M.A,0.0,0.96,0.114,0.261,1.0
107_1I2M.A,0.0,0.84,0.083,0.193,1.0
110_1I2M.A,0.0,0.95,0.092,0.246,1.0
134_1I2M.A,0.0,0.11,0.096,0.034,1.0
137_1I2M.A,0.0,0.03,0.194,0.035,1.0
140_1I2M.A,0.001,0.02,0.27,0.04,1.0
29_1I8L.A,0.282,0.03,0.977,0.259,1.0
31_1I8L.A,0.616,0.15,0.88,0.402,1.0
33_1I8L.A,0.024,0.0,0.412,0.054,1.0
36_1I8L.A,0.0,0.23,0.527,0.117,1.0
38_1I8L.A,0.502,0.39,0.75,0.438,1.0
83_1I8L.A,0.215,0.0,0.145,0.041,1.0
93_1I8L.A,0.616,0.51,0.125,0.235,1.0
94_1I8L.A,0.304,0.42,0.155,0.133,1.0
8_1IRA.X,0.0,0.1,0.019,0.028,1.0
11_1IRA.X,0.0,0.03,0.044,0.025,1.0
14_1IRA.X,0.131,0.6,0.46,0.273,1.0
16_1IRA.X,0.46,0.74,0.76,0.652,1.0
18_1IRA.X,0.217,0.92,0.601,0.583,1.0
20_1IRA.X,0.287,0.35,1.0,0.465,1.0
25_1IRA.X,0.0,0.12,0.091,0.035,1.0
26_1IRA.X,0.0,0.57,0.132,0.116,1.0
27_1IRA.X,0.0,0.66,0.121,0.139,1.0
34_1IRA.X,0.76,0.53,0.774,0.646,1.0
36_1IRA.X,0.612,0.18,0.569,0.261,1.0
37_1IRA.X,0.171,0.78,0.395,0.357,1.0
39_1IRA.X,0.278,0.97,0.149,0.384,1.0
42_1IRA.X,0.194,0.08,0.119,0.046,1.0
50_1IRA.X,0.0,0.21,0.024,0.038,1.0
51_1IRA.X,0.0,0.04,0.02,0.024,1.0
53_1IRA.X,0.0,0.94,0.061,0.229,1.0
54_1IRA.X,0.0,0.72,0.095,0.152,1.0
126_1IRA.X,0.173,0.66,0.292,0.243,1.0
127_1IRA.X,0.131,0.73,0.214,0.231,1.0
128_1IRA.X,0.217,0.29,0.153,0.086,1.0
147_1IRA.X,0.255,0.82,0.837,0.663,1.0
150_1IRA.X,0.0,0.38,0.181,0.081,1.0
21_1ISA.A,0.146,0.89,0.248,0.337,1.0
25_1ISA.A,0.227,0.99,0.372,0.503,1.0
30_1ISA.A,0.14,0.98,0.403,0.478,1.0
120_1ISA.A,0.193,0.99,0.618,0.627,1.0
159_1ISA.A,0.731,0.98,0.869,0.877,1.0
160_1ISA.A,0.291,0.95,0.347,0.488,1.0
163_1ISA.A,1.0,0.95,0.793,0.897,1.0
167_1ISA.A,0.313,0.97,0.484,0.588,1.0
168_1ISA.A,0.317,0.99,0.553,0.64,1.0
1_1ITB.A,0.0,0.65,0.283,0.186,1.0
2_1ITB.A,0.0,0.12,0.22,0.046,1.0
4_1ITB.A,0.0,0.32,0.897,0.282,1.0
6_1ITB.A,0.179,0.14,0.742,0.187,1.0
11_1ITB.A,0.0,0.02,0.231,0.037,1.0
14_1ITB.A,0.0,0.01,0.158,0.031,1.0
15_1ITB.A,0.0,0.01,0.301,0.042,1.0
25_1ITB.A,0.636,0.02,0.459,0.157,1.0
27_1ITB.A,0.194,0.02,0.169,0.044,1.0
30_1ITB.A,0.194,0.02,0.138,0.041,1.0
32_1ITB.A,0.285,0.04,0.237,0.062,1.0
33_1ITB.A,0.194,0.04,0.266,0.057,1.0
34_1ITB.A,0.285,0.02,0.244,0.06,1.0
38_1ITB.A,0.173,0.07,0.208,0.052,1.0
48_1ITB.A,0.0,0.01,0.396,0.052,1.0
51_1ITB.A,0.0,0.02,0.353,0.048,1.0
53_1ITB.A,0.0,0.22,0.399,0.087,1.0
92_1ITB.A,0.0,0.01,0.093,0.026,1.0
93_1ITB.A,0.0,0.02,0.218,0.036,1.0
94_1ITB.A,0.0,0.02,0.148,0.031,1.0
105_1ITB.A,0.0,0.02,0.643,0.09,1.0
108_1ITB.A,0.0,0.02,0.67,0.095,1.0
128_1ITB.A,0.0,0.23,0.158,0.054,1.0
149_1ITB.A,0.186,0.02,0.647,0.12,1.0
150_1ITB.A,0.307,0.11,1.0,0.322,1.0
1_1JIW.I,0.0,0.5,0.743,0.308,1.0
2_1JIW.I,0.0,0.72,0.974,0.575,1.0
3_1JIW.I,0.0,0.91,1.0,0.704,1.0
4_1JIW.I,0.0,0.98,0.672,0.574,1.0
5_1JIW.I,0.0,0.97,0.963,0.719,1.0
39_1JIW.I,0.757,0.97,0.684,0.826,1.0
62_1JIW.I,0.348,0.88,0.79,0.707,1.0
64_1JIW.I,0.0,0.9,0.612,0.487,1.0
65_1JIW.I,0.0,0.95,0.904,0.679,1.0
66_1JIW.I,0.0,0.89,0.558,0.449,1.0
74_1JIW.I,0.514,0.98,0.311,0.579,1.0
76_1JIW.I,0.862,0.99,0.726,0.868,1.0
77_1JIW.I,0.344,0.77,0.767,0.63,1.0
83_1JIW.I,0.576,0.89,0.492,0.646,1.0
84_1JIW.I,0.757,0.82,0.499,0.676,1.0
133_1JIW.P,0.0,0.8,0.215,0.226,1.0
134_1JIW.P,0.0,0.32,0.208,0.074,1.0
135_1JIW.P,0.0,0.0,0.024,0.022,1.0
158_1JIW.P,0.562,0.06,0.458,0.155,1.0
169_1JIW.P,0.0,0.95,0.437,0.419,1.0
176_1JIW.P,0.0,0.0,0.02,0.022,1.0
177_1JIW.P,0.0,0.0,0.014,0.022,1.0
180_1JIW.P,0.0,0.0,0.005,0.021,1.0
186_1JIW.P,0.0,0.0,0.01,0.021,1.0
191_1JIW.P,0.0,0.94,0.081,0.237,1.0
192_1JIW.P,0.0,0.74,0.191,0.191,1.0
196_1JIW.P,0.562,0.93,0.323,0.573,1.0
216_1JIW.P,0.427,0.97,0.242,0.498,1.0
218_1JIW.P,0.562,0.95,0.385,0.62,1.0
220_1JIW.P,0.0,0.92,0.265,0.31,1.0
225_1JIW.P,0.427,0.88,0.125,0.373,1.0
227_1JIW.P,0.0,0.93,0.223,0.296,1.0
228_1JIW.P,0.427,0.95,0.32,0.529,1.0
230_1JIW.P,0.562,0.88,0.425,0.598,1.0
278_1JIW.P,0.0,0.55,0.124,0.109,1.0
28_1JKM.A,0.001,0.07,0.333,0.052,1.0
86_1JKM.A,0.098,0.03,0.095,0.033,1.0
306_1JKM.A,0.001,0.03,0.234,0.038,1.0
319_1JKM.A,0.001,0.04,0.336,0.049,1.0
330_1JKM.A,0.0,0.01,0.208,0.034,1.0
331_1JKM.A,0.0,0.01,0.261,0.038,1.0
332_1JKM.A,0.0,0.01,0.261,0.038,1.0
334_1JKM.A,0.001,0.02,0.392,0.053,1.0
353_1JKM.A,0.001,0.08,0.167,0.037,1.0
357_1JKM.A,0.001,0.12,0.252,0.05,1.0
358_1JKM.A,0.0,0.09,0.124,0.035,1.0
361_1JKM.A,0.0,0.03,0.102,0.028,1.0
362_1JKM.A,0.0,0.0,0.082,0.025,1.0
365_1JKM.A,0.001,0.03,0.157,0.032,1.0
366_1JKM.A,0.0,0.04,0.125,0.031,1.0
368_1JKM.A,0.001,0.75,0.247,0.216,1.0
30_1JPS.H,0.057,0.74,0.171,0.192,1.0
31_1JPS.H,0.159,0.93,0.512,0.499,1.0
32_1JPS.H,0.422,0.94,0.469,0.582,1.0
33_1JPS.H,1.0,0.73,0.661,0.756,1.0
52_1JPS.H,0.265,0.0,0.278,0.059,1.0
55_1JPS.H,0.013,0.98,0.192,0.301,1.0
57_1JPS.H,0.034,0.99,0.168,0.302,1.0
59_1JPS.H,0.0,0.86,0.116,0.207,1.0
100_1JPS.H,0.62,0.07,0.677,0.245,1.0
101_1JPS.H,0.265,0.73,0.814,0.585,1.0
532_1JPS.H,0.258,0.82,0.956,0.71,1.0
550_1JPS.H,0.377,0.94,1.0,0.816,1.0
591_1JPS.H,0.266,0.0,0.415,0.079,1.0
592_1JPS.H,0.159,0.07,0.371,0.073,1.0
593_1JPS.H,0.0,0.08,0.196,0.04,1.0
594_1JPS.H,0.0,0.05,0.126,0.032,1.0
99_1JTD.A,0.188,0.98,0.239,0.387,1.0
102_1JTD.A,0.146,0.22,0.233,0.076,1.0
104_1JTD.A,0.787,0.33,0.754,0.495,1.0
105_1JTD.A,1.0,0.99,1.0,0.93,1.0
106_1JTD.A,0.001,0.0,0.3,0.042,1.0
110_1JTD.A,0.341,0.52,0.602,0.361,1.0
111_1JTD.A,0.409,0.73,0.244,0.321,1.0
113_1JTD.A,0.13,0.21,0.096,0.054,1.0
216_1JTD.A,0.0,0.02,0.561,0.077,1.0
237_1JTD.A,0.0,0.97,0.427,0.415,1.0
270_1JTD.A,0.0,0.03,0.717,0.109,1.0
271_1JTD.A,0.0,0.01,0.714,0.104,1.0
415_1KAC.A,0.0,0.35,0.308,0.098,1.0
418_1KAC.A,0.0,0.08,0.144,0.036,1.0
426_1KAC.A,0.464,0.67,0.115,0.246,1.0
429_1KAC.A,0.0,0.79,0.228,0.22,1.0
451_1KAC.A,0.315,0.18,0.158,0.075,1.0
487_1KAC.A,0.0,0.76,0.186,0.191,1.0
494_1KAC.A,0.245,0.64,0.171,0.197,1.0
497_1KAC.A,0.0,0.93,0.113,0.237,1.0
498_1KAC.A,0.0,0.87,0.083,0.199,1.0
54_1KAC.B,0.153,0.01,0.26,0.049,1.0
58_1KAC.B,0.244,0.02,0.415,0.08,1.0
72_1KAC.B,0.322,0.02,0.599,0.13,1.0
75_1KAC.B,0.854,0.05,0.636,0.287,1.0
77_1KAC.B,0.563,0.03,0.625,0.192,1.0
83_1KAC.B,1.0,0.16,0.604,0.384,1.0
84_1KAC.B,0.433,0.1,0.73,0.229,1.0
85_1KAC.B,0.919,0.17,1.0,0.585,1.0
123_1KAC.B,0.0,0.01,0.159,0.031,1.0
125_1KAC.B,0.0,0.01,0.231,0.037,1.0
127_1KAC.B,0.0,0.05,0.145,0.033,1.0
128_1KAC.B,0.0,0.19,0.136,0.046,1.0
43_1KLU.D,0.274,0.01,0.156,0.047,1.0
44_1KLU.D,0.223,0.99,0.899,0.759,1.0
45_1KLU.D,0.186,0.97,0.926,0.75,1.0
47_1KLU.D,0.0,0.07,0.755,0.13,1.0
67_1KLU.D,0.173,0.0,0.475,0.078,1.0
89_1KLU.D,0.0,0.0,0.202,0.033,1.0
94_1KLU.D,1.0,0.12,1.0,0.584,1.0
96_1KLU.D,0.285,0.07,0.586,0.135,1.0
112_1KLU.D,0.0,0.0,0.239,0.036,1.0
211_1KLU.D,0.116,0.0,0.248,0.044,1.0
212_1KLU.D,0.179,0.02,0.44,0.077,1.0
47_1KPE.A,0.0,0.63,0.105,0.123,1.0
63_1KPE.A,0.046,0.22,0.184,0.059,1.0
64_1KPE.A,0.079,0.19,0.094,0.047,1.0
66_1KPE.A,0.282,0.21,0.045,0.06,1.0
67_1KPE.A,0.0,0.2,0.04,0.038,1.0
68_1KPE.A,0.0,0.29,0.118,0.057,1.0
71_1KPE.A,0.0,0.85,0.262,0.262,1.0
75_1KPE.A,0.0,0.96,0.203,0.292,1.0
76_1KPE.A,0.0,0.18,0.036,0.036,1.0
78_1KPE.A,0.169,0.98,0.629,0.601,1.0
82_1KPE.A,0.0,0.74,0.402,0.27,1.0
83_1KPE.A,0.0,0.8,0.077,0.169,1.0
92_1KPE.A,0.466,0.94,0.45,0.588,1.0
93_1KPE.A,0.131,0.67,0.485,0.314,1.0
94_1KPE.A,0.173,0.25,0.716,0.22,1.0
95_1KPE.A,0.368,0.85,0.788,0.68,1.0
96_1KPE.A,0.169,0.97,0.73,0.65,1.0
97_1KPE.A,0.169,0.75,0.349,0.304,1.0
98_1KPE.A,0.169,0.97,0.345,0.433,1.0
99_1KPE.A,0.031,0.96,0.14,0.272,1.0
100_1KPE.A,0.079,0.99,0.153,0.31,1.0
102_1KPE.A,0.279,0.55,0.13,0.157,1.0
103_1KPE.A,0.169,0.98,0.197,0.357,1.0
104_1KPE.A,0.279,0.99,0.139,0.372,1.0
114_1KPE.A,0.169,0.0,0.036,0.03,1.0
119_1KPE.A,0.117,0.27,0.181,0.073,1.0
120_1KPE.A,0.197,0.71,0.451,0.342,1.0
121_1KPE.A,1.0,0.0,0.387,0.2,1.0
122_1KPE.A,0.598,0.88,0.334,0.534,1.0
123_1KPE.A,0.598,0.77,1.0,0.801,1.0
124_1KPE.A,0.598,0.69,0.357,0.425,1.0
125_1KPE.A,0.417,0.96,0.524,0.623,1.0
126_1KPE.A,0.598,0.96,0.23,0.526,1.0
25_1KTZ.A,0.466,0.43,0.165,0.165,1.0
31_1KTZ.A,0.317,0.85,0.419,0.455,1.0
34_1KTZ.A,0.416,0.77,0.086,0.269,1.0
91_1KTZ.A,1.0,0.97,0.354,0.738,1.0
92_1KTZ.A,0.502,0.95,0.453,0.609,1.0
93_1KTZ.A,0.616,0.96,0.23,0.532,1.0
94_1KTZ.A,0.466,0.69,0.116,0.257,1.0
144_1KXP.A,0.04,0.76,0.035,0.151,1.0
145_1KXP.A,0.0,0.63,0.052,0.111,1.0
146_1KXP.A,0.203,0.94,0.087,0.291,1.0
147_1KXP.A,0.279,0.6,0.09,0.162,1.0
166_1KXP.A,0.412,0.34,0.639,0.302,1.0
167_1KXP.A,0.336,0.53,0.76,0.453,1.0
169_1KXP.A,0.314,0.97,1.0,0.813,1.0
173_1KXP.A,0.196,0.97,0.498,0.531,1.0
279_1KXP.A,0.0,0.07,0.152,0.036,1.0
